Enhancer	Target_gene
SE_424	TPX2
SE_425	ID1
SE_425	MIR3193
SE_426	SPAG4
SE_426	FER1L4
SE_443	MTG2
SE_424	TM9SF4
SE_426	ERGIC3
SE_434	ZFAS1
SE_434	SNORD12C
SE_434	SNORD12B
SE_434	SNORD12
SE_434	ZNFX1
SE_424	BCL2L1
SE_424	ABALON
SE_438	TMEM189-UBE2V1
SE_438	TMEM189
TE_17128	BCAS4
TE_16940	RBM39
SE_438	BCAS4
TE_16936	SPAG4
TE_16936	FER1L4
TE_17234	MTG2
SE_425	HM13
SE_425	BCL2L1
SE_425	ABALON
TE_17108	ZFAS1
TE_17108	SNORD12C
TE_17108	SNORD12B
TE_17108	SNORD12
TE_17108	ZNFX1
TE_17163	GMEB2
TE_17163	MHENCR
TE_17267	HELZ2
TE_16976	SNHG17
TE_16976	SNORA71B
TE_16976	SNORA71A
TE_16976	SNORA71C
TE_16976	SNORA71D
SE_426	PHF20
TE_17121	B4GALT5
SE_436	TMEM189-UBE2V1
SE_436	TMEM189
SE_426	EIF6
SE_426	MMP24-AS1-EDEM2
SE_426	MMP24OS
SE_426	FAM83C-AS1
SE_426	FAM83C
SE_428	TOP1
TE_16940	CPNE1
TE_16940	RBM12
TE_16712	ZFAS1
TE_16712	SNORD12C
TE_16712	SNORD12B
TE_16712	SNORD12
TE_16712	ZNFX1
TE_17143	ATP9A
TE_17269	UCKL1
TE_17269	MIR647
TE_17269	MIR1914
TE_17269	UCKL1-AS1
TE_17267	SRMS
TE_17267	FNDC11
TE_17269	RPS21
TE_16857	UQCC1
TE_17193	OSER1
TE_17193	OSER1-DT
TE_17196	AURKA
TE_17196	CSTF1
TE_17160	MGME1
TE_17160	SNORD17
TE_17160	SNX5
TE_17267	ZNF512B
TE_17267	SAMD10
TE_17267	PRPF6
TE_16870	SOGA1
SE_443	ACTL10
SE_443	NECAB3
SE_443	C20orf144
TE_16870	TM9SF4
TE_17221	AURKA
TE_17221	CSTF1
TE_16976	FAM83D
SE_443	NEURL2
SE_443	CTSA
SE_443	ZSWIM1
SE_443	SPATA25
TE_17241	LAMA5
SE_435	SLC9A8
SE_424	CST3
SE_429	NNAT
SE_429	BLCAP
TE_1550	NBPF15
TE_345	SYF2
TE_210	EPHA2
SE_44	MTX1
SE_44	THBS3
SE_44	MUC1
SE_44	GBA
SE_44	MIR92B
SE_44	GBAP1
TE_2376	PIK3C2B
TE_826	TACSTD2
SE_4	SZRD1
TE_5	LOC100287497
TE_5	GTF2IP20
TE_513	CSF3R
TE_109	ENO1-AS1
TE_109	ENO1
TE_108	ENO1-AS1
TE_108	ENO1
SE_3	SLC25A34-AS1
SE_3	FBLIM1
SE_3	SLC25A34
SE_3	TMEM82
TE_22	CDK11B
TE_22	CDK11A
TE_22	SLC35E2A
TE_1709	MIR4258
TE_1709	FLAD1
TE_1709	PBXIP1
TE_1709	SHC1
TE_1709	ZBTB7B
TE_1709	PYGO2
TE_1709	CKS1B
TE_1709	LENEP
TE_1709	LOC101928120
TE_400	SNORA73A
TE_400	SNORA73B
TE_400	SNHG3
TE_400	RCC1
TE_318	ELOA
TE_1633	MIR4258
TE_1633	FLAD1
TE_1633	PBXIP1
TE_1633	SHC1
TE_1633	ZBTB7B
TE_1633	PYGO2
TE_1633	CKS1B
TE_1633	LENEP
TE_1633	LOC101928120
TE_315	ELOA-AS1
TE_315	LYPLA2
TE_315	GALE
TE_315	PITHD1
TE_201	DDI2
SE_12	TMEM69
SE_12	GPBP1L1
TE_729	ZYG11A
SE_44	FDPS
SE_44	PKLR
TE_2523	MIR554
TE_2523	TUFT1
TE_465	MIR4258
TE_465	FLAD1
TE_465	PBXIP1
TE_465	SHC1
TE_465	ZBTB7B
TE_465	PYGO2
TE_465	CKS1B
TE_465	LENEP
TE_465	LOC101928120
TE_118	ENO1-AS1
TE_118	ENO1
TE_135	KIF1B
TE_458	SNORD21
TE_458	SNORA66
TE_458	RPL5
TE_2689	ACBD3
TE_409	ELOA-AS1
TE_409	LYPLA2
TE_409	GALE
TE_409	PITHD1
TE_475	SYNC
SE_30	ZNF644
TE_1854	UQCRH
TE_1854	LRRC41
SE_50	SUCO
TE_1633	PRPF3
SE_16	NDUFS5
SE_45	ARHGEF2
TE_373	RPS6KA1
SE_75	ZNF496
SE_3	DDI2
SE_40	MIR4257
SE_40	ADAMTSL4-AS1
SE_40	ADAMTSL4
SE_75	NUCKS1
TE_551	MFSD2A
TE_2731	RNF187
TE_1526	FAM72A
TE_1526	FAM72C
TE_526	FHL3
TE_526	UTP11
TE_1690	SLC39A1
TE_1690	RPS27
TE_1690	MIR6737
TE_1690	CREB3L4
TE_1690	RAB13
TE_1690	JTB
TE_1690	CRTC2
SE_40	RPRD2
TE_2124	DNAH14
TE_1530	FAM72B
TE_951	PRDX1
SE_50	SNORA73A
SE_50	SNORA73B
SE_50	SNHG3
SE_50	RCC1
TE_1198	NBPF15
TE_1738	GPATCH4
TE_1738	NAXE
TE_1738	TTC24
TE_118	H6PD
TE_1710	MIR4258
TE_1710	FLAD1
TE_1710	PBXIP1
TE_1710	SHC1
TE_1710	ZBTB7B
TE_1710	PYGO2
TE_1710	CKS1B
TE_1710	LENEP
TE_1710	LOC101928120
TE_1710	SLC50A1
TE_1710	DPM3
TE_1710	EFNA1
TE_1690	NDC1
TE_406	LINC01715
TE_406	RNU11
TE_406	TAF12
TE_7	LINC02593
TE_7	SAMD11
TE_565	PRDX1
TE_107	ENO1-AS1
TE_107	ENO1
TE_1975	LOC100506023
TE_1975	PRDX6
SE_23	ACOT11
SE_45	LOC100287049
SE_45	DCAF8
SE_14	MIR4258
SE_14	FLAD1
SE_14	PBXIP1
SE_14	SHC1
SE_14	ZBTB7B
SE_14	PYGO2
SE_14	CKS1B
SE_14	LENEP
SE_14	LOC101928120
SE_58	GPR37L1
TE_460	GNB1
TE_2408	LOC101928034
TE_2408	S100A4
TE_2408	S100A6
TE_2408	S100A5
TE_2408	S100A3
TE_2349	RUSC1-AS1
TE_2349	RUSC1
TE_272	ECE1
TE_272	ECE1-AS1
TE_307	HNRNPR
SE_14	UBE4B
TE_1522	NOTCH2NLR
TE_1522	NOTCH2NLA
TE_1522	NOTCH2NLC
TE_1522	NOTCH2NLB
SE_75	RSRP1
TE_1698	ADAR
TE_335	CLIC4
TE_1635	PRPF3
TE_70	MIR4254
TE_70	ADGRB2
TE_533	MORN1
TE_533	RER1
TE_1622	TMEM167B
TE_1622	C1orf194
TE_1622	SCARNA2
TE_1622	KIAA1324
TE_2390	LEMD1-AS1
TE_513	FOXO6
TE_1720	SCARNA4
TE_1720	MIR6738
TE_1720	KHDC4
TE_1720	SNORA80E
TE_1720	RXFP4
TE_305	HTR1D
TE_2814	SARS1
SE_75	INTS7
SE_75	DTL
TE_1622	H4C14
TE_1622	H3C15
TE_1622	H4C15
TE_1622	H3C14
TE_1622	H2AC18
TE_1622	H2AC19
TE_1622	H2BC20P
TE_398	PHACTR4
TE_1735	LMNA
TE_484	ZNF362
TE_118	FUBP1
TE_118	DNAJB4
TE_707	AGO3
TE_230	RCC2
TE_1688	ADAM15
TE_1688	DCST1-AS1
TE_1207	TMED5
TE_1207	CCDC18
TE_1758	ECE1
TE_1758	ECE1-AS1
TE_1636	PRPF3
TE_2273	NEK7
TE_2907	MAP1LC3C
TE_654	PRDX1
TE_120	SLC2A5
TE_2637	MIR4666A
TE_2637	H2BU1
TE_2637	H2AW
TE_439	SERINC2
TE_210	PTP4A2
TE_1530	FAM72A
TE_1530	FAM72C
SE_40	ATP1A1
TE_1600	SLC50A1
TE_1600	DPM3
TE_1600	EFNA1
TE_314	ID3
TE_1564	ANKRD35
TE_455	KPNA6
SE_50	VPS72
SE_50	PIP5K1A
SE_14	PABPC4
SE_14	PPIEL
SE_14	PABPC4-AS1
SE_14	SNORA55
TE_1352	CLCC1
TE_287	LMNA
TE_1541	TMEM167B
TE_1541	C1orf194
TE_1541	SCARNA2
TE_1541	KIAA1324
SE_50	NRDC
TE_2312	SRP9
TE_170	MIR6729
TE_170	MIIP
TE_2954	AHCTF1
SE_50	EPHX1
TE_1713	MTX1
TE_1713	THBS3
TE_1713	MUC1
TE_1713	GBA
TE_1713	MIR92B
TE_1713	GBAP1
SE_44	LMNA
TE_406	SYNC
SE_50	MPZ
SE_50	SDHC
TE_1543	SSR2
SE_50	NUF2
SE_50	RGS5
TE_306	HNRNPR
TE_1549	LINC00623
TE_1549	LINC00869
TE_1549	LOC100996720
TE_1528	H3-2
TE_1528	H2BP2
TE_312	TCEA3
TE_195	EFHD2
TE_618	KDM4A
TE_1544	POGZ
TE_1716	LMNA
TE_2942	CATSPERE
TE_2942	ADSS2
TE_462	MTMR9LP
TE_462	FAM167B
TE_462	LCK
TE_469	MARCKSL1
TE_1543	B4GALT3
TE_1543	USP21
TE_1543	PPOX
TE_1543	UFC1
TE_634	RNU5F-1
TE_634	RNU5D-1
TE_634	KIF2C
TE_1650	PRRC2C
SE_62	TMCC2
SE_50	UCK2
TE_2313	ZNF281
TE_716	FUCA1
TE_1758	GPATCH2
TE_1758	SPATA17
TE_306	TCEA3
TE_2275	INTS7
TE_2275	DTL
TE_1609	NBPF15
TE_2320	OPN3
TE_2320	CHML
TE_289	USP48
SE_41	S100A10
TE_1739	CRABP2
TE_439	SDC3
SE_12	FAM72A
SE_12	FAM72C
TE_385	PHACTR4
TE_2120	LAMC1
TE_250	CAPZB
SE_43	MTX1
SE_43	THBS3
SE_43	MUC1
SE_43	GBA
SE_43	MIR92B
SE_43	GBAP1
TE_2553	ADAR
TE_731	YBX1
TE_2277	ASPM
TE_1597	NBPF12
TE_1890	MIR4257
TE_1890	ADAMTSL4-AS1
TE_1890	ADAMTSL4
SE_12	NCSTN
SE_12	COPA
SE_28	ZNF326
SE_28	GEMIN8P4
TE_2330	TIMM17A
TE_2330	LMOD1
SE_54	PEX19
TE_2428	COX20
TE_2523	SNORA100
TE_2523	HNRNPU
TE_513	ELOA-AS1
TE_513	LYPLA2
TE_513	GALE
TE_513	PITHD1
SE_30	SNORD21
SE_30	SNORA66
SE_30	RPL5
TE_406	SRSF4
TE_322	ELOA-AS1
TE_322	LYPLA2
TE_322	GALE
TE_322	PITHD1
TE_1787	LOC112543491
TE_1787	DEDD
TE_851	PIGM
SE_18	CTPS1
SE_50	PTPN14
TE_513	THRAP3
TE_475	KIAA1522
TE_223	ATP13A2
SE_50	ATP1A1-AS1
SE_75	STPG1
SE_75	NIPAL3
TE_1710	HCN3
TE_1710	CLK2
SE_14	ANXA9
SE_14	CERS2
SE_16	ID3
TE_766	FAF1
TE_766	CDKN2C
TE_272	TCEA3
TE_108	SNORD81
TE_108	SNORD47
TE_108	SNORD80
TE_108	SNORD79
TE_108	SNORD78
TE_108	SNORD44
TE_108	SNORA103
TE_108	SNORD77
TE_108	SNORD75
TE_108	SNORD74
TE_108	GAS5
TE_108	GAS5-AS1
TE_108	ZBTB37
TE_108	SNORD76
SE_44	GNB1
SE_7	MED8
SE_7	SZT2
TE_273	NADK
TE_806	HP1BP3
TE_394	EYA3
SE_40	MIR6878
SE_40	TARS2
TE_488	FHL3
TE_488	UTP11
TE_1607	NDC1
TE_651	CCDC163
TE_651	TESK2
TE_651	MMACHC
TE_2419	LINC01137
TE_2419	MIR6732
TE_2419	ZC3H12A
TE_991	ZZZ3
SE_35	TARBP1
TE_513	STK40
TE_1504	MAN1A2
TE_1629	VPS45
TE_1259	ARF1
TE_1259	LINC02809
SE_75	LMNA
TE_385	FGR
SE_73	LBR
TE_397	UBE2Q1-AS1
TE_397	UBE2Q1
TE_397	CHRNB2
TE_666	LMNA
SE_50	SLC25A24
TE_2419	LINC01341
SE_40	MCL1
TE_2835	SNORA14B
TE_2835	TOMM20
TE_1758	LOC101928034
TE_1758	S100A4
TE_1758	S100A6
TE_1758	S100A5
TE_1758	S100A3
TE_2134	ELOA-AS1
TE_2134	LYPLA2
TE_2134	GALE
TE_2134	PITHD1
SE_75	ARF1
SE_75	LINC02809
SE_44	MIR4258
SE_44	FLAD1
SE_44	PBXIP1
SE_44	SHC1
SE_44	ZBTB7B
SE_44	PYGO2
SE_44	CKS1B
SE_44	LENEP
SE_44	LOC101928120
TE_250	LOC105378614
TE_250	MICOS10
TE_250	MICOS10-NBL1
TE_293	TPM3
TE_2444	CD46
