Enhancer	Target_gene
TE_25296	SLC44A1
TE_25468	WDR5
SE_478	SH3GLB2
SE_478	MIGA2
TE_25349	TOR2A
TE_25374	C9orf106
TE_24912	ARRDC1
TE_25090	TRIM32
TE_25090	ASTN2
TE_24857	ZBTB26
TE_24857	RABGAP1
TE_25270	CDK5RAP2
TE_24996	LOC100132781
TE_25311	TSC1
TE_25311	MIR548AW
TE_25311	GFI1B
TE_25333	ST6GALNAC6
TE_24334	TJP2
TE_25406	UCK1
TE_25090	PTAR1
TE_25248	APTX
TE_25248	DNAJA1
TE_25160	KIF12
TE_25372	SH3GLB2
TE_25372	MIGA2
TE_25511	PHPT1
TE_25511	MAMDC4
TE_25511	AJM1
TE_25389	NCS1
TE_25398	TMEM268
TE_24565	TESK1
TE_24565	MIR4667
TE_10025	LRRC37A3
SE_241	LRRC37A3
TE_10267	BPTF
SE_233	ARHGAP23
SE_238	LINC00910
SE_238	ARL4D
SE_230	SUZ12
SE_217	CRK
TE_9973	IFI35
TE_9973	RPL27
SE_234	ARHGAP23
SE_228	ERAL1
SE_228	MIR144
SE_228	MIR451A
SE_228	MIR451B
SE_228	MIR4732
TE_10010	MAPK8IP1P2
TE_9826	SUZ12
SE_241	BPTF
TE_10229	PLEKHM1
SE_236	MSL1
SE_243	SNF8
TE_9613	BORCS6
TE_9613	AURKB
TE_9613	MIR4521
SE_218	MIR1253
SE_218	CCDC92B
SE_218	PAFAH1B1
SE_246	VMP1
SE_246	PTRH2
SE_217	TIMM22
SE_249	UBALD2
SE_218	RAP1GAP2
TE_9578	ARRB2
TE_9578	PELP1
TE_9578	LOC101559451
SE_230	GOSR1
TE_10259	HELZ
TE_10259	LOC101928021
TE_10025	NFE2L1
TE_10026	MAPK8IP1P2
SE_220	UBB
SE_233	ARRB2
SE_233	PELP1
SE_233	LOC101559451
TE_9816	LOC105371789
TE_9816	HDAC5
TE_9517	LRRC37A3
TE_9919	PLXDC1
SE_222	FOXO3B
SE_222	ZNF286B
TE_10030	NSFP1
TE_10030	NSF
TE_9881	DHRS11
TE_9881	MRM1
TE_9577	C17orf107
TE_9577	CHRNE
SE_219	UBE2G1
TE_9927	MSL1
TE_9577	MINK1
TE_9716	CENPV
TE_9936	GJD3
SE_225	SNORD3B-1
SE_225	SNORD3B-2
SE_217	YWHAE
TE_10084	SAMD14
SE_217	BHLHA9
SE_217	TRARG1
SE_218	OGFOD3
SE_218	HEXD
TE_10149	SPOP
SE_243	ATP5MC1
TE_9536	CTNS
TE_9536	SHPK
SE_220	CENPV
TE_9639	SLC2A4
TE_9639	YBX2
SE_228	FLOT2
SE_228	DHRS13
SE_237	KCNH4
SE_237	GHDC
SE_237	HCRT
SE_230	TAOK1
SE_230	MIR4523
TE_10381	SCARNA16
TE_10381	MIR6516
TE_10381	SEC14L1
TE_10381	SNHG20
TE_10486	SNORD134
TE_10486	FASN
TE_10381	MFSD11
TE_10381	METTL23
TE_10381	SRSF2
TE_10381	JMJD6
TE_10381	MIR636
SE_219	GGT6
SE_219	MYBBP1A
TE_10084	TAC4
TE_10084	FLJ45513
SE_237	ANKFY1
SE_237	LOC103021295
TE_9714	TTC19
TE_9714	ZSWIM7
TE_9535	LOC105371485
TE_9535	DPH1
TE_9535	MIR132
TE_9535	HIC1
TE_9535	OVCA2
TE_9535	MIR212
TE_9535	RTN4RL1
SE_230	TEFM
SE_238	BRCA1
SE_238	NBR2
TE_10181	GDPD1
TE_10181	SMG8
SE_238	PSMC3IP
TE_9921	CDK12
TE_10229	SMURF2
SE_242	CBX1
SE_242	SNX11
TE_9834	COPRS
TE_10002	GJC1
TE_10000	HIGD1B
SE_237	STAT3
TE_9994	GPATCH8
TE_9528	MYO1C
SE_230	LOC105371789
SE_230	HDAC5
SE_246	DHX40
TE_10066	SNF8
TE_9727	ZNF207
TE_9727	MIR632
TE_9727	C17orf75
TE_10245	C1QL1
SE_234	ARHGDIA
SE_234	P4HB
SE_249	SPHK1
TE_9535	SERPINF1
TE_10025	KIF18B
SE_241	LRRC37B
SE_243	LOC105371814
SE_243	UBE2Z
TE_9814	FLOT2
TE_9814	DHRS13
TE_10441	RNF213
TE_10153	RPA1
TE_10153	SMYD4
SE_249	SEPTIN9
TE_10495	FAM222B
TE_10027	BPTF
SE_237	P3H4
SE_237	FKBP10
TE_9937	RAPGEFL1
SE_217	DHX33-DT
SE_217	DHX33
TE_9726	MIR6777
TE_9726	MIR33B
TE_9726	SREBF1
TE_9954	KLHL10
TE_9954	NT5C3B
TE_9927	MED24
TE_9927	THRA
SE_250	SEC14L1
TE_9577	SUZ12
TE_10181	CLTC
TE_9716	NCOR1
TE_9716	PIGL
TE_9577	ARRB2
TE_9577	PELP1
TE_9577	LOC101559451
TE_9755	FOXO3B
TE_9755	ZNF286B
TE_10454	RNF213
SE_217	ABR
TE_10486	ANAPC11
TE_10486	PCYT2
TE_10486	MAFG
TE_10486	MYADML2
TE_10486	SIRT7
TE_10486	PYCR1
TE_10486	NPB
TE_10486	MAFG-DT
TE_10486	ALYREF
SE_217	NLGN2
SE_217	PLSCR3
SE_217	TMEM256-PLSCR3
SE_217	TNK1
SE_217	TMEM256
SE_237	COASY
SE_237	HSD17B1
SE_237	LOC108783654
SE_237	NAGLU
SE_237	MLX
TE_10445	LOC100996842
TE_10445	CD68
TE_10445	TNFSF13
TE_10445	TNFSF12
TE_10445	SENP3-EIF4A1
TE_10445	SNORA48
TE_10445	SNORD10
TE_10445	SNORA67
TE_10445	MPDU1
TE_10445	EIF4A1
TE_10445	TNFSF12-TNFSF13
TE_10445	SENP3
TE_10445	SOX15
TE_9577	PSMB6
TE_9577	VMO1
TE_9577	GLTPD2
TE_10250	BPTF
TE_10374	UBE2O
TE_10374	AANAT
SE_224	EPN2
TE_9714	UBB
SE_238	DHX8
TE_9998	GJC1
SE_243	ABI3
SE_243	GNGT2
SE_243	PHOSPHO1
SE_249	BPTF
SE_217	XYLT2
TE_10043	MRPL45
TE_9816	NUFIP2
TE_9613	VAMP2
TE_9613	MIR6883
TE_9613	PER1
SE_246	SRSF1
SE_242	CDK5RAP3
SE_242	PRR15L
TE_10025	SCARNA16
TE_10025	MIR6516
TE_10025	SEC14L1
TE_10025	SNHG20
TE_9915	ARL5C
TE_10025	GNA13
SE_220	FAM83G
SE_249	TXNDC17
SE_249	KIAA0753
TE_9577	ALOX15
TE_9913	TP53I13
TE_9913	ABHD15
TE_10229	LRRC37A3
TE_9536	SRR
TE_9536	SMG6
TE_9978	LINC00910
TE_9978	ARL4D
SE_244	ANKRD40CL
SE_244	MIR8059
SE_238	CYB561
TE_10025	RAPGEFL1
TE_9834	RHOT1
TE_9834	LOC105371730
TE_9834	ARGFXP2
TE_9814	PROCA1
TE_9814	TLCD1
TE_9814	RAB34
TE_9814	SNORD42B
TE_9814	SNORD4A
TE_9814	SNORD42A
TE_9814	SNORD4B
TE_9814	RPL23A
TE_9814	NEK8
SE_219	ANKFY1
SE_219	LOC103021295
TE_9606	ELP5
TE_9606	ACADVL
TE_9606	DLG4
TE_9606	CTDNEP1
TE_9606	CLDN7
TE_9606	MIR324
TE_9606	DVL2
TE_9606	PHF23
TE_9606	GABARAP
TE_9927	GRB7
TE_9927	MIR4728
TE_9927	MIEN1
SE_243	MFSD11
SE_243	METTL23
SE_243	SRSF2
SE_243	JMJD6
SE_243	MIR636
SE_242	NFE2L1
SE_219	ALOX15
SE_238	PTGES3L
SE_238	PTGES3L-AARSD1
SE_238	RUNDC1
TE_9954	MIR6510
TE_9954	KRT19
TE_9954	KRT15
SE_230	ATP1B2
TE_10409	PGS1
TE_10409	LOC101928674
TE_10409	SOCS3
SE_228	FAM222B
SE_225	FOXO3B
SE_225	ZNF286B
SE_241	MAP3K14-AS1
TE_9771	CCDC144NL-AS1
SE_217	NXN
SE_253	MAPK8IP1P2
SE_230	ZBTB4
SE_230	POLR2A
SE_230	SLC35G6
TE_10239	NLK
TE_9907	ARHGAP23
SE_229	RNF135
SE_229	DPRXP4
TE_10174	PPM1E
SE_235	PLXDC1
TE_9913	GOSR1
TE_9973	PSME3
TE_9973	BECN1
TE_9973	MIR6781
SE_238	VAT1
SE_238	RND2
TE_10481	PDE6G
TE_10481	OXLD1
TE_10481	CCDC137
SE_249	MFSD11
SE_249	METTL23
SE_249	SRSF2
SE_249	JMJD6
SE_249	MIR636
SE_243	CALCOCO2
TE_9761	GJD3
TE_10248	BPTF
TE_9514	TMEM94
TE_10084	MAP3K14-AS1
SE_233	SOCS7
SE_233	GPR179
TE_7064	SSTR1
TE_7709	CEP170B
TE_7709	MIR12121
SE_171	BCL11B
TE_6960	THTPA
TE_6960	AP1G2
TE_6960	JPH4
TE_6960	LOC102724814
TE_6960	ZFHX2
TE_7224	SNAPC1
TE_7245	PPP1R36
TE_7245	LOC102723809
TE_7245	HSPA2
TE_7709	LINC00638
TE_7064	AJUBA
SE_156	EAPP
SE_156	RNVU1-18
SE_156	RNU1-3
SE_156	RNU1-4
SE_156	RNU1-2
SE_156	RNU1-1
SE_171	ZNF410
TE_7694	XRCC3
TE_7694	ZFYVE21
TE_7306	SIPA1L1
TE_7488	GPR135
TE_7488	HNRNPC
TE_7337	TMX1
TE_7244	PPP1R36
TE_7244	LOC102723809
TE_7244	HSPA2
SE_165	SNORA79B
SE_165	SNORD126
SE_165	CCNB1IP1
TE_7714	LINC00638
