Enhancer	Target_gene
SE_68	RPS6KC1
TE_1228	PHTF1
TE_1628	SNORD81
TE_1628	SNORD47
TE_1628	SNORD80
TE_1628	SNORD79
TE_1628	SNORD78
TE_1628	SNORD44
TE_1628	SNORA103
TE_1628	SNORD77
TE_1628	SNORD75
TE_1628	SNORD74
TE_1628	GAS5
TE_1628	GAS5-AS1
TE_1628	ZBTB37
TE_1628	SNORD76
TE_2557	SMYD3
TE_2564	SLC2A1-AS1
TE_2564	SLC2A1
TE_1590	RASAL2-AS1
TE_1590	RASAL2
TE_541	PSMD4
SE_47	VANGL1
TE_1684	B4GALT2
TE_1684	ATP6V0B
TE_1684	DPH2
TE_2078	EPRS1
TE_324	RPA2
TE_79	SCNM1
TE_79	TMOD4
TE_79	TNFAIP8L2-SCNM1
TE_79	TNFAIP8L2
TE_79	LYSMD1
SE_25	MORN1
SE_25	RER1
TE_247	TMEM51-AS1
TE_247	TMEM51
TE_1628	LOC100506023
TE_1628	PRDX6
TE_2556	CNST
TE_2556	TFB2M
TE_64	TMEM79
TE_64	GLMP
TE_64	SMG5
TE_64	VHLL
TE_2010	ENO1-AS1
TE_2010	ENO1
TE_17	DEGS1
TE_208	SLC2A1-AS1
TE_208	SLC2A1
SE_70	HSPB11
SE_70	LRRC42
TE_270	PRMT6
TE_308	FUBP1
TE_308	DNAJB4
TE_1292	PHC2
TE_1292	PHC2-AS1
TE_270	CLIC4
TE_220	LDLRAD2
TE_1203	SNORD21
TE_1203	SNORA66
TE_1203	RPL5
SE_70	ERRFI1
TE_514	ARTN
TE_21	DDAH1
TE_400	SYNC
TE_143	DDI2
TE_1390	ENSA
TE_1977	CDC42
TE_2297	USP33
TE_2560	ZNF496
SE_68	UBE2Q1-AS1
SE_68	UBE2Q1
SE_68	CHRNB2
TE_1628	SLC25A34-AS1
TE_1628	FBLIM1
TE_2054	DDX59
TE_2054	DDX59-AS1
TE_564	SRP9
SE_50	ZNF687-AS1
SE_50	ZNF687
TE_234	NADK
SE_27	PABPC4
SE_27	PABPC4-AS1
SE_27	SNORA55
TE_2341	PLPP3
TE_270	KHDRBS1
SE_27	CATSPERE
SE_27	ADSS2
TE_2548	ADAM15
TE_2548	DCST1-AS1
TE_2293	DEGS1
TE_1722	SNORD167
TE_1722	PUSL1
TE_1722	MIR6727
TE_1722	INTS11
TE_1722	CPTP
TE_1722	ACAP3
TE_1722	TAS1R3
TE_2531	COX20
TE_1305	LINC00623
TE_1305	LINC00869
TE_1305	LOC100996720
SE_26	SF3A3
TE_394	RNF19B
TE_734	ALG6
TE_316	SYTL1
TE_442	PHC2
TE_442	PHC2-AS1
TE_402	MIR4254
TE_402	ADGRB2
TE_1485	PEX19
TE_1974	DUSP10
TE_2380	STPG1
TE_2380	NIPAL3
SE_13	LOC647070
SE_13	DHX9
TE_778	F3
TE_778	MIR12133
TE_317	FAM76A
TE_2540	TMEM79
TE_2540	GLMP
TE_2540	SMG5
TE_2540	VHLL
TE_21	SRRM1
SE_45	UQCRH
SE_45	LRRC41
TE_358	PUM1
TE_2297	NVL
TE_17	ZZZ3
TE_1053	LINC01715
TE_1053	RNU11
TE_1053	TAF12
TE_378	KPNA6
TE_228	CDC42
TE_252	ID3
TE_779	ELOA
TE_799	MFSD2A
TE_135	CENPS-CORT
TE_135	CENPS
TE_355	TRNP1
TE_2075	TRNP1
TE_246	MIR4258
TE_246	FLAD1
TE_246	PBXIP1
TE_246	SHC1
TE_246	PYGO2
TE_246	CKS1B
TE_246	LENEP
TE_246	LOC101928120
SE_13	ROR1
SE_12	MFN2
SE_39	ARHGAP29
TE_1513	DDX59
TE_1513	DDX59-AS1
TE_12	LOC100288175
TE_12	RNF223
TE_356	YTHDF2
TE_587	DNAJB4
TE_143	CAPZB
SE_49	LOC644634
TE_1386	SEMA6C
TE_488	NFYC-AS1
TE_488	NFYC
TE_2498	LYPLAL1
TE_2498	LYPLAL1-DT
SE_70	KPNA6
TE_319	CAP1
TE_156	CPLANE2
TE_2305	EIF4G3
TE_2447	DUSP10
TE_2473	DDR2
TE_80	PER3
TE_80	VAMP3
TE_1320	TRNP1
TE_79	MIGA1
TE_1721	NUCKS1
TE_313	LZIC
TE_313	NMNAT1
SE_39	TMEM63A
SE_39	LEFTY1
SE_68	ARHGAP29
TE_1026	FNBP1L
TE_313	ACTG1P20
TE_313	TMEM222
TE_1053	LOC729970
TE_1053	CNN3
TE_721	CLIC4
TE_1661	ACBD6
TE_270	CAPN2
TE_1388	ZSWIM5
SE_39	QSOX1
SE_64	ZC3H11A
SE_64	ZBED6
TE_1351	NBPF12
TE_2226	GNAI3
TE_2226	GPR61
SE_49	MTF1
TE_1382	PRPF3
TE_1721	RBBP5
TE_1976	ABL2
TE_2129	PHC2
TE_2129	PHC2-AS1
TE_1366	RNVU1-18
TE_1366	RNU1-3
TE_1366	RNU1-4
TE_1366	RNU1-2
TE_1366	RNU1-1
TE_1300	TRNP1
TE_1868	CAPN2
TE_741	NAV1
TE_1620	PABPC4
TE_1620	PABPC4-AS1
TE_1620	SNORA55
TE_799	UBE4B
TE_2010	MIR6736
TE_2010	PIAS3
TE_1661	ENO1-AS1
TE_1661	ENO1
SE_32	NUAK2
TE_1401	SEMA6C
TE_155	EPHA2
TE_852	MARCKSL1
TE_401	LAMC1
TE_88	SLC25A33
TE_1976	ATP2B4
TE_401	ZSCAN20
TE_80	MFN2
TE_225	LDLRAD2
SE_60	UAP1
TE_2042	PEAR1
TE_151	SLC25A34-AS1
TE_151	FBLIM1
SE_45	LOC729970
SE_45	CNN3
TE_17	AURKAIP1
TE_1977	TRNP1
SE_68	RAB3GAP2
SE_68	AURKAP1
TE_2391	LYPLAL1
TE_2391	LYPLAL1-DT
TE_587	GNB1
TE_353	SCNN1D
TE_353	UBE2J2
TE_317	THEMIS2
SE_5	TRNP1
TE_154	EPHA2
TE_271	SRRM1
TE_1687	TOR3A
TE_17	TRNP1
SE_61	MTFR1L
SE_61	LOC646471
TE_1398	POGZ
TE_2042	FAM72A
TE_2042	FAM72C
TE_2299	LOC644634
TE_2312	PTPN14
TE_741	PGM1
TE_2160	KCTD3
TE_2557	GNB1
TE_852	ELOA
TE_427	SRSF10
TE_110	UBIAD1
SE_71	RC3H1
SE_68	CLIC4
TE_159	ENO1-AS1
TE_159	ENO1
SE_70	CDC42
SE_8	SLC25A34-AS1
SE_8	FBLIM1
TE_380	KPNA6
TE_13	RPS6KA1
TE_1455	LMNA
TE_2046	FAM72B
TE_1424	ILF2
TE_1424	NPR1
TE_2312	ZNF691
TE_2312	LOC339539
TE_619	GLIS1
TE_1350	LOC101927468
TE_400	COL16A1
TE_2078	LOC100506023
TE_2078	PRDX6
TE_799	SNORD167
TE_799	PUSL1
TE_799	MIR6727
TE_799	INTS11
TE_799	CPTP
TE_799	ACAP3
TE_799	TAS1R3
TE_2075	CD46
SE_70	LAMC1
TE_149	UQCRHL
TE_1083	S100A10
TE_92	LMNA
TE_1047	EPRS1
TE_310	AHDC1
SE_68	AK2
SE_70	TNFSF4
TE_378	CDC42
TE_252	ELOA-AS1
TE_252	PITHD1
TE_2339	PSEN2
TE_644	KPNA6
TE_1977	SNORD81
TE_1977	SNORD47
TE_1977	SNORD80
TE_1977	SNORD79
TE_1977	SNORD78
TE_1977	SNORD44
TE_1977	SNORA103
TE_1977	SNORD77
TE_1977	SNORD75
TE_1977	SNORD74
TE_1977	GAS5
TE_1977	GAS5-AS1
TE_1977	ZBTB37
TE_1977	SNORD76
SE_14	CPLANE2
TE_1977	CSRP1
TE_1977	LOC107985246
TE_528	EIF2B3
SE_27	FABP3
TE_1313	TSNAX-DISC1
TE_1313	TSNAX
TE_436	MANEAL
TE_1318	ZNF697
TE_674	ZZZ3
TE_427	TEKT2
TE_427	ADPRS
SE_8	DDI2
TE_587	RAB3B
TE_323	RC3H1
TE_1982	TIMM17A
TE_1982	LMOD1
SE_27	CC2D1B
TE_357	ZFP69
TE_181	ENO1-AS1
TE_181	ENO1
SE_70	ATP2B4
TE_80	SRSF4
TE_213	LUZP1
TE_328	SESN2
TE_799	SNORD21
TE_799	SNORA66
TE_799	RPL5
TE_275	SYF2
TE_88	DNAJB4
SE_18	PTCH2
TE_541	IPP
SE_68	CENPF
TE_1684	SOAT1
TE_2447	LYST
SE_8	GNB1
TE_347	SNORD167
TE_347	PUSL1
TE_347	MIR6727
TE_347	INTS11
TE_347	CPTP
TE_347	ACAP3
TE_347	TAS1R3
TE_305	FOXJ3
TE_2144	PTPN14
TE_1429	SMG7-AS1
TE_1429	SMG7
TE_248	ASAP3
TE_305	ISG20L2
TE_305	HDGF
TE_305	RRNAD1
TE_305	MRPL24
TE_1535	POGZ
TE_204	HP1BP3
TE_325	PHACTR4
TE_741	PRRC2C
TE_26446	LINC01410
TE_26696	NXNL2
TE_27162	NIBAN2
TE_26411	LOC107984035
SE_802	NIBAN2
TE_26914	LPAR1
SE_793	UGCG
TE_26914	TXN
TE_27300	ZMYND19
SE_802	STXBP1
TE_26334	NOL6
TE_26334	MIR6851
SE_793	SHC3
SE_784	CORO2A
TE_27114	ARPC5L
TE_27114	RPL35
TE_27114	WDR38
SE_802	ZNF79
TE_27201	GPR107
TE_27201	FNBP1
TE_27300	ARRDC1
TE_26144	RIC1
SE_802	LRSAM1
SE_802	RPL12
SE_802	SNORA65
SE_802	PIP5KL1
SE_802	DPM2
TE_26914	UGCG
TE_26439	LINC00537
TE_26439	MIR4477A
TE_26439	MIR4477B
TE_27124	RABEPK
TE_27124	PPP6C
TE_27124	LOC105376271
TE_26451	FRG1HP
SE_771	TPM2
SE_805	APTX
SE_805	DNAJA1
TE_26205	SNAPC3
SE_802	FPGS
TE_27107	NOL6
TE_27107	MIR6851
SE_773	TPM2
TE_27021	TBC1D2
TE_27081	PTGS1
SE_805	NCS1
TE_27219	UCK1
SE_774	TLN1
SE_774	CREB3
SE_774	MIR6853
TE_26222	NEK6
TE_26222	LOC613206
TE_27021	NEK6
TE_27021	LOC613206
TE_27220	UCK1
TE_26448	FRG1HP
TE_26927	LPAR1
TE_26334	PRSS3
TE_26444	BMS1P14
SE_775	SET
TE_26710	NXNL2
TE_27192	ASB6
TE_27109	NR6A1
TE_27109	OLFML2A
SE_775	RPS6
TE_27209	ABL1
SE_775	FRG1HP
SE_792	UGCG
SE_778	DPP7
TE_26530	CARNMT1
TE_26723	IARS1
TE_26723	MIR3651
TE_26723	SNORA84
SE_805	CNTRL
TE_27066	GSN
TE_26915	VPS13A
