Enhancer	Target_gene
TE_10854	PRDX2
TE_10816	FTL
TE_10816	BAX
SE_351	ZNF468
TE_10915	TNNT1
TE_10915	TNNI3
TE_10915	DNAAF3
TE_10915	SYT5
TE_10834	RCN3
TE_10941	ZSCAN4
TE_10517	YJEFN3
TE_10517	CILP2
TE_10900	OSCAR
TE_10900	TFPT
TE_10900	PRPF31
TE_10900	NDUFA3
TE_10735	MIR642B
TE_10735	MIR642A
TE_10735	GIPR
TE_10487	KCNN1
TE_10319	LYPLA2P2
TE_10319	LRRC8E
TE_10319	MAP2K7
TE_10500	MPV17L2
TE_10735	ERCC1
TE_10735	MIR6088
TE_10806	LMTK3
TE_10197	MEX3D
TE_10246	DAPK3
TE_10246	MIR637
SE_343	PSMD8
TE_10619	THAP8
TE_10619	WDR62
TE_10763	DUS3L
TE_10763	PRR22
TE_10239	GIPC3
TE_10239	HMG20B
SE_335	SAMD1
SE_335	C19orf67
TE_10197	TCF3
TE_10710	KCNN4
TE_10484	FCHO1
TE_10189	ABCA7
TE_10189	CNN2
TE_10189	RNU6-1
TE_10189	RNU6-7
TE_10189	RNU6-8
TE_10189	RNU6-9
TE_10189	RNU6-2
TE_10189	TMEM259
SE_339	YJEFN3
SE_339	CILP2
TE_10707	KCNN4
TE_10189	GAMT
TE_10189	DAZAP1
TE_10885	ZNF611
TE_10669	ELAVL1
TE_10363	PLPPR2
TE_10363	TMEM205
TE_10363	RAB3D
TE_10363	CCDC159
TE_10357	DNM2
TE_10357	MIR638
TE_10806	EMP3
TE_10806	CCDC114
TE_10326	TIMM44
TE_10297	TUBB4A
TE_10514	TMEM161A
TE_10337	MARCHF2
TE_10205	UQCR11
TE_10366	QTRT1
TE_10231	GNA11
TE_10923	TMEM150B
TE_10363	ZNF841
TE_10315	PNPLA6
TE_10315	PEX11G
TE_10315	MCOLN1
TE_10315	TEX45
TE_10315	ZNF358
TE_7042	HERC2
SE_249	SMAD6
TE_7747	MAN2A2
TE_7042	HERC2P3
TE_7042	LOC102723534
SE_243	CCPG1
SE_243	C15orf65
TE_7674	TM6SF1
TE_7042	HERC2P2
TE_7419	TRIP4
TE_7419	PCLAF
TE_7419	PLEKHO2
TE_7770	LOC440311
